,mOTU
COMPLETE-SET-AND-BULK_mOTU_616,4
COMPLETE-SET-AND-BULK_mOTU_455,4
COMPLETE-SET-AND-BULK_mOTU_794,4
COMPLETE-SET-AND-BULK_mOTU_350,4
COMPLETE-SET-AND-BULK_mOTU_783,4
COMPLETE-SET-AND-BULK_mOTU_283,4
COMPLETE-SET-AND-BULK_mOTU_837,4
COMPLETE-SET-AND-BULK_mOTU_121,4
COMPLETE-SET-AND-BULK_mOTU_398,4
COMPLETE-SET-AND-BULK_mOTU_688,4
COMPLETE-SET-AND-BULK_mOTU_583,4
COMPLETE-SET-AND-BULK_mOTU_537,4
COMPLETE-SET-AND-BULK_mOTU_224,4
COMPLETE-SET-AND-BULK_mOTU_756,4
COMPLETE-SET-AND-BULK_mOTU_833,4
COMPLETE-SET-AND-BULK_mOTU_859,4
COMPLETE-SET-AND-BULK_mOTU_636,4
COMPLETE-SET-AND-BULK_mOTU_500,4
COMPLETE-SET-AND-BULK_mOTU_066,4
COMPLETE-SET-AND-BULK_mOTU_423,3
COMPLETE-SET-AND-BULK_mOTU_150,3
COMPLETE-SET-AND-BULK_mOTU_801,3
COMPLETE-SET-AND-BULK_mOTU_111,3
COMPLETE-SET-AND-BULK_mOTU_116,3
COMPLETE-SET-AND-BULK_mOTU_803,3
COMPLETE-SET-AND-BULK_mOTU_878,3
COMPLETE-SET-AND-BULK_mOTU_037,3
COMPLETE-SET-AND-BULK_mOTU_384,3
COMPLETE-SET-AND-BULK_mOTU_665,3
COMPLETE-SET-AND-BULK_mOTU_682,3
COMPLETE-SET-AND-BULK_mOTU_554,3
COMPLETE-SET-AND-BULK_mOTU_148,3
COMPLETE-SET-AND-BULK_mOTU_014,3
COMPLETE-SET-AND-BULK_mOTU_715,3
COMPLETE-SET-AND-BULK_mOTU_442,3
COMPLETE-SET-AND-BULK_mOTU_336,3
COMPLETE-SET-AND-BULK_mOTU_575,3
COMPLETE-SET-AND-BULK_mOTU_532,3
COMPLETE-SET-AND-BULK_mOTU_293,3
COMPLETE-SET-AND-BULK_mOTU_417,3
COMPLETE-SET-AND-BULK_mOTU_476,3
COMPLETE-SET-AND-BULK_mOTU_481,3
COMPLETE-SET-AND-BULK_mOTU_736,3
COMPLETE-SET-AND-BULK_mOTU_437,3
COMPLETE-SET-AND-BULK_mOTU_474,3
COMPLETE-SET-AND-BULK_mOTU_545,3
COMPLETE-SET-AND-BULK_mOTU_729,3
COMPLETE-SET-AND-BULK_mOTU_805,3
COMPLETE-SET-AND-BULK_mOTU_022,3
COMPLETE-SET-AND-BULK_mOTU_257,3
COMPLETE-SET-AND-BULK_mOTU_705,3
COMPLETE-SET-AND-BULK_mOTU_482,3
COMPLETE-SET-AND-BULK_mOTU_032,3
COMPLETE-SET-AND-BULK_mOTU_577,3
COMPLETE-SET-AND-BULK_mOTU_653,3
COMPLETE-SET-AND-BULK_mOTU_009,3
COMPLETE-SET-AND-BULK_mOTU_238,3
COMPLETE-SET-AND-BULK_mOTU_889,3
COMPLETE-SET-AND-BULK_mOTU_908,3
COMPLETE-SET-AND-BULK_mOTU_581,3
COMPLETE-SET-AND-BULK_mOTU_861,3
COMPLETE-SET-AND-BULK_mOTU_843,3
COMPLETE-SET-AND-BULK_mOTU_797,3
COMPLETE-SET-AND-BULK_mOTU_434,3
COMPLETE-SET-AND-BULK_mOTU_747,3
COMPLETE-SET-AND-BULK_mOTU_405,3
COMPLETE-SET-AND-BULK_mOTU_788,3
COMPLETE-SET-AND-BULK_mOTU_097,3
COMPLETE-SET-AND-BULK_mOTU_854,3
COMPLETE-SET-AND-BULK_mOTU_297,3
COMPLETE-SET-AND-BULK_mOTU_380,3
COMPLETE-SET-AND-BULK_mOTU_767,3
